item_name,costco_cost
"Kirkland Signature Cheese Pizza, 18.25 oz, 4 ct",14.73
"Kirkland Signature Nitrile Exam Gloves, Extra Large, 400 ct",27.27
"Kirkland Signature Tonkotsu Ramen Broth, Pork, 32 fl oz, 4 ct",17.15
"Kirkland Signature Ultra Shine Liquid Dish Soap, Fresh, 90 fl oz",10.77
"Kirkland Signature Purified Drinking Water, 1 Gallon, 6 ct",11.54
"Kirkland Signature Three Berry Blend, 4 lbs",0.01
"Kirkland Signature Tortilla Strips, 3 lbs",7.47
"Kirkland Signature Solid White Albacore Tuna in Water, 7 oz, 8-count",21.99
"Kirkland Signature Chicken Tenderloins, Boneless Skinless, 6 lbs",24.85
"Kirkland Signature Premium Chunk Chicken Breast, 12.5 oz, 6 ct",16.05
"Kirkland Signature Grass-Fed Butter, Salted, 8 oz, 4 ct",14.95
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",15.5
"Kirkland Signature Whole Bean Coffee, French Roast, 2.5 lbs",23.31
"Kirkland Signature Aged Parmigiano Reggiano Cheese, Shredded, 1 lb",24.85
"Kirkland Signature Fresh Goat Cheese, 10.5 oz, 2 ct",9.89
"Kirkland Signature Butter, Unsalted, Sticks, 1 lb, 4 ct",11.87
"Kirkland Signature Butter, Salted, Block, 1 lb, 4 ct",11.76
"Kirkland Signature Italian Sparkling Water, 16.9 fl oz, 24 ct",25.29
"Kirkland Signature Protein Bar, Variety Pack, 2.12 oz, 20-count",27.49
"Kirkland Signature California In-Shell Pistachios, Roasted & Salted, 3 lbs",21.33
"Kirkland Signature French Fries, Extra-Crispy, 5 lbs, 6 ct",41.57
"Kirkland Signature Organic Milk, 1% Low Fat, Half Gallon, 3 ct",15.61
"Kirkland Signature Organic No-Salt Seasoning, 14.5 oz",10.66
"Kirkland Signature Thick Sliced Bacon, Center Cut, 1.5 lbs, 2 ct",14.4
"Kirkland Signature Pepperoni Pizza, Artisan Crust, 21.52 oz, 4 ct",18.69
"Kirkland Signature Whole Milk, 1 Gallon, 2 ct",10.34
"Kirkland Signature Organic Large Eggs, Free Range, 2 Dozen",10.44
"Kirkland Signature Organic Coconut Water, 33.8 fl oz, 9 ct",27.49
"Kirkland Signature Butter, Salted, Stick, 1 lb, 4 ct",11.87
